S0701_C01_001E,S0701_C01_005E,S0701_C01_007E,S0701_C01_011E,S0701_C01_041E,S0701_C01_035E,S0701_C01_037E,state,year,B06009_005E
2870529.0,377168.0,350511.0,36.9,198035.0,496294.0,390861.0,20,2016,390861.0
4385213.0,564723.0,597239.0,39.2,351431.0,968299.0,419081.0,21,2016,419081.0
4622042.0,671108.0,587387.0,37.0,365518.0,1059273.0,473299.0,22,2016,473299.0
1319292.0,157452.0,191625.0,44.9,114559.0,318369.0,181434.0,23,2016,181434.0
5949566.0,832284.0,854684.0,38.9,315778.0,1046470.0,860491.0,24,2016,860491.0
6745441.0,950957.0,960054.0,39.9,422799.0,1156496.0,1124295.0,25,2016,1124295.0
9813772.0,1248301.0,1349140.0,40.2,734077.0,1978343.0,1162737.0,26,2016,1162737.0
5455904.0,744809.0,727552.0,38.4,342754.0,937937.0,860125.0,27,2016,860125.0
2946971.0,362723.0,371222.0,37.9,244841.0,595611.0,265220.0,28,2017,265220.0
6039877.0,814462.0,773476.0,39.1,450222.0,1277505.0,743797.0,29,2017,743797.0
1039170.0,132667.0,123311.0,40.4,80247.0,203141.0,157326.0,30,2017,157326.0
1894217.0,259071.0,225511.0,36.9,123039.0,331081.0,263330.0,31,2017,263330.0
2963456.0,436060.0,396715.0,38.5,191002.0,592846.0,340110.0,32,2017,340110.0
1330742.0,163877.0,196140.0,43.6,77190.0,268564.0,216750.0,33,2017,216750.0
8910191.0,1162394.0,1277960.0,40.2,507544.0,1696858.0,1506899.0,34,2017,1506899.0
2062628.0,274063.0,239784.0,38.2,162034.0,370599.0,211995.0,35,2017,211995.0
19638923.0,2923367.0,2661217.0,39.1,1268254.0,3634065.0,2794920.0,36,2017,2794920.0
10158556.0,1352154.0,1390045.0,39.2,758938.0,1800555.0,1406739.0,37,2017,1406739.0
744641.0,114379.0,82316.0,35.9,47369.0,130900.0,108045.0,38,2017,108045.0
11520109.0,1525401.0,1519661.0,39.8,817117.0,2661209.0,1381934.0,39,2017,1381934.0
3875922.0,538461.0,468148.0,37.1,287531.0,804245.0,437243.0,40,2017,437243.0
4102048.0,578534.0,517835.0,39.7,279706.0,673810.0,609160.0,41,2017,609160.0
12674642.0,1681722.0,1699842.0,41.2,870930.0,3134497.0,1697397.0,42,2017,1697397.0
1048549.0,145756.0,142657.0,40.0,76267.0,220613.0,149699.0,44,2017,149699.0
4966211.0,648479.0,644154.0,39.9,391611.0,1016072.0,607024.0,45,2017,607024.0
856726.0,116061.0,99511.0,37.5,54468.0,176709.0,109803.0,46,2017,109803.0
6642072.0,905358.0,891828.0,39.0,536749.0,1488080.0,790840.0,47,2017,790840.0
27924632.0,4122739.0,3539389.0,35.2,1731020.0,4552676.0,3510311.0,48,2017,3510311.0
619089.0,73864.0,82775.0,43.0,46106.0,127426.0,98774.0,50,2017,98774.0
3056193.0,453438.0,316997.0,31.5,181147.0,408078.0,416804.0,49,2017,416804.0
8372522.0,1165166.0,1141333.0,38.6,519611.0,1396487.0,1270190.0,51,2017,1270190.0
7318811.0,1105343.0,946140.0,38.2,437152.0,1128284.0,1130392.0,53,2017,1130392.0
1798306.0,208597.0,237739.0,42.7,145274.0,526652.0,156378.0,54,2017,156378.0
5731549.0,727114.0,761175.0,39.9,399111.0,1214914.0,782676.0,55,2017,782676.0
573483.0,79822.0,64982.0,37.8,37751.0,114739.0,67312.0,56,2017,67312.0
,,,,,,,72,2017,
4819343.0,628878.0,630330.0,39.4,401057.0,1029982.0,528019.0,01,2017,528019.0
730874.0,118149.0,89052.0,34.8,37226.0,133132.0,86444.0,02,2017,86444.0
6935358.0,953327.0,850441.0,38.2,468889.0,1136493.0,863062.0,04,2017,863062.0
2968395.0,382786.0,375887.0,38.6,254097.0,683285.0,301294.0,05,2017,301294.0
39085984.0,6018225.0,5159747.0,37.0,2731490.0,5541182.0,5616449.0,06,2017,5616449.0
5542282.0,867170.0,714756.0,37.2,332013.0,815595.0,994894.0,08,2017,994894.0
952449.0,130949.0,124532.0,40.6,57900.0,218309.0,121442.0,10,2017,121442.0
684810.0,162354.0,76277.0,34.3,33915.0,85033.0,118172.0,11,2017,118172.0
3556297.0,444141.0,515325.0,41.3,208572.0,676911.0,533791.0,09,2017,533791.0
20772371.0,2707837.0,2761337.0,42.5,1602520.0,4330040.0,2839500.0,12,2017,2839500.0
10299497.0,1421366.0,1418289.0,37.2,719072.0,1936501.0,1311611.0,13,2017,1311611.0
1694182.0,221528.0,198380.0,36.8,125271.0,313029.0,202800.0,16,2017,202800.0
1410750.0,206064.0,173608.0,39.6,72847.0,280494.0,216993.0,15,2017,216993.0
12659328.0,1765429.0,1678264.0,38.5,783480.0,2272174.0,1829903.0,17,2017,1829903.0
6591598.0,868016.0,855973.0,38.2,456936.0,1450767.0,753268.0,18,2017,753268.0
3106880.0,392787.0,382916.0,38.8,209638.0,639230.0,406630.0,19,2017,406630.0
2876925.0,384111.0,343221.0,37.1,191326.0,490769.0,403542.0,20,2017,403542.0
4404279.0,573771.0,584245.0,39.3,343271.0,997060.0,423916.0,21,2017,423916.0
4629962.0,654476.0,577426.0,37.2,364297.0,1061526.0,482439.0,22,2017,482439.0
1322591.0,158713.0,184823.0,45.0,115900.0,300716.0,193860.0,23,2017,193860.0
5988007.0,837271.0,844542.0,39.1,316603.0,1020828.0,889090.0,24,2017,889090.0
6789798.0,972147.0,942394.0,40.0,432227.0,1163526.0,1146586.0,25,2017,1146586.0
9851330.0,1266361.0,1328423.0,40.3,708366.0,1969839.0,1201375.0,26,2017,1201375.0
5510902.0,758807.0,708904.0,38.4,342242.0,938908.0,888880.0,27,2017,888880.0
5751525.0,735765.0,738357.0,40.1,397961.0,1222475.0,775533.0,55,2018,775533.0
570867.0,77254.0,67487.0,38.9,35962.0,113351.0,66449.0,56,2018,66449.0
,,,,,,,72,2018,
2955717.0,379027.0,359664.0,38.0,233597.0,589363.0,284701.0,28,2018,284701.0
6053109.0,819132.0,753354.0,39.2,429802.0,1270247.0,754906.0,29,2018,754906.0
1051757.0,133976.0,121090.0,40.5,80816.0,205496.0,152448.0,30,2018,152448.0
1905843.0,256755.0,218816.0,37.1,121985.0,326400.0,269675.0,31,2018,269675.0
3003761.0,442713.0,396167.0,38.6,189915.0,581662.0,339675.0,32,2018,339675.0
1344750.0,167822.0,189718.0,43.5,84216.0,269202.0,217282.0,33,2018,217282.0
8815804.0,1151093.0,1233599.0,40.4,474416.0,1629398.0,1535321.0,34,2018,1535321.0
2072546.0,279153.0,239928.0,38.6,166356.0,370023.0,221735.0,35,2018,221735.0
19329704.0,2872898.0,2557338.0,39.4,1242227.0,3546789.0,2846770.0,36,2018,2846770.0
10274540.0,1382310.0,1378087.0,39.4,743889.0,1802360.0,1454678.0,37,2018,1454678.0
749825.0,116734.0,81517.0,36.0,44418.0,129495.0,110664.0,38,2018,110664.0
11555163.0,1533104.0,1488201.0,40.0,801402.0,2625971.0,1431014.0,39,2018,1431014.0
3895983.0,542736.0,459013.0,37.2,283934.0,816934.0,434570.0,40,2018,434570.0
4152756.0,592655.0,519480.0,39.9,284935.0,655811.0,621190.0,41,2018,621190.0
12674699.0,1695073.0,1659541.0,41.3,860933.0,3113998.0,1723226.0,42,2018,1723226.0
1047975.0,146349.0,140006.0,40.4,76381.0,210606.0,147507.0,44,2018,147507.0
5029034.0,654355.0,637009.0,40.1,379838.0,1043630.0,627144.0,45,2018,627144.0
871271.0,116300.0,97263.0,37.7,61878.0,180511.0,117943.0,46,2018,117943.0
6692936.0,914783.0,883961.0,39.4,512894.0,1477132.0,801616.0,47,2018,801616.0
28333482.0,4181960.0,3550999.0,35.3,1774709.0,4627856.0,3627047.0,48,2018,3627047.0
621681.0,75058.0,80695.0,43.4,45574.0,127349.0,103068.0,50,2018,103068.0
3114717.0,463344.0,319031.0,31.6,175368.0,423407.0,427561.0,49,2018,427561.0
8424340.0,1170188.0,1115695.0,38.7,507220.0,1398061.0,1296041.0,51,2018,1296041.0
7453439.0,1153369.0,930921.0,38.0,420886.0,1133822.0,1187508.0,53,2018,1187508.0
1787630.0,209002.0,233109.0,43.2,142260.0,508339.0,163614.0,54,2018,163614.0
4832358.0,635976.0,626173.0,39.8,379165.0,1026976.0,536086.0,01,2018,536086.0
727164.0,117688.0,89333.0,35.3,44394.0,137293.0,89635.0,02,2018,89635.0
7090137.0,979328.0,852462.0,38.4,446038.0,1159297.0,898032.0,04,2018,898032.0
2975961.0,392937.0,370343.0,38.7,240003.0,686867.0,296422.0,05,2018,296422.0
39114889.0,6034398.0,5068026.0,37.1,2631320.0,5559362.0,5704852.0,06,2018,5704852.0
5633029.0,889656.0,710218.0,37.3,307818.0,812615.0,1013989.0,08,2018,1013989.0
958770.0,127399.0,122887.0,41.5,61080.0,225797.0,124178.0,10,2018,124178.0
693798.0,163467.0,75526.0,34.2,33755.0,82900.0,129782.0,11,2018,129782.0
3538203.0,447891.0,494642.0,41.5,208240.0,669967.0,544028.0,09,2018,544028.0
21092877.0,2758515.0,2741968.0,42.6,1596120.0,4387954.0,2920459.0,12,2018,2920459.0
